                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1427,                0.59689,                 1.0953,                0.96918,                0.96489,                0.98036,                0.65068,                 1.2986,                0.60416,                 1.1156,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.1683,                0.60319,                 1.1023,                0.96498,                0.97738,                0.98749,                0.65132,                 1.2963,                0.57793,                  1.118,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.1416,                0.58317,                 1.0891,                0.97947,                0.98599,                0.99042,                0.68905,                 1.2189,                0.55448,                 1.0876,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.1611,                0.57851,                 1.0856,                0.98027,                0.98529,                0.99136,                0.66538,                 1.2878,                0.55286,                 1.1039,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.1269,                0.58226,                 1.0632,                0.98175,                0.99067,                 0.9901,                0.66708,                 1.2328,                0.55497,                 1.0894,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.1071,                0.56502,                 1.0643,                0.97981,                 0.9817,                 0.9889,                0.66345,                 1.3062,                  0.573,                 1.1334,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.1323,                0.59219,                 1.0934,                0.98409,                0.98107,                0.99061,                0.68677,                 1.2283,                0.53778,                 1.0926,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.0697,                0.54427,                 1.0451,                0.98734,                0.98146,                0.99139,                0.68386,                  1.246,                0.52684,                 1.0895,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.0616,                0.54557,                 1.0535,                0.98897,                0.97832,                0.98596,                0.67736,                 1.2543,                0.52317,                 1.1028,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.1041,                0.54756,                 1.0558,                0.97837,                0.98249,                0.99082,                0.64054,                 1.3806,                0.57278,                 1.1679,             0.00064905,             0.00064905,             0.00064905
                     44,                  1.085,                0.55413,                 1.0581,                0.97807,                0.96881,                0.98593,                0.65611,                 1.3271,                0.54698,                 1.1283,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.1243,                0.56239,                  1.071,                0.98271,                0.97453,                 0.9895,                0.67391,                 1.2512,                0.54541,                 1.0993,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1146,                0.55404,                 1.0744,                0.97647,                0.97832,                0.98897,                0.64707,                  1.293,                 0.5534,                 1.1162,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.0794,                0.54575,                 1.0499,                0.98389,                 0.9833,                0.98564,                 0.6543,                 1.3021,                0.53447,                 1.1229,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.0909,                0.54155,                 1.0465,                0.97749,                  0.985,                0.98759,                0.66023,                  1.292,                0.52545,                   1.11,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1339,                0.54129,                 1.0656,                0.98457,                0.98528,                0.98856,                0.66533,                 1.2842,                0.52341,                 1.1154,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.0757,                0.53556,                 1.0466,                0.98012,                0.99239,                 0.9916,                0.65258,                 1.3137,                0.50824,                 1.1327,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.0218,                 0.5111,                 1.0382,                0.97652,                0.98978,                0.99034,                0.66496,                 1.2589,                0.50319,                 1.1182,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.0511,                0.52245,                 1.0351,                0.98352,                0.97723,                 0.9891,                0.65683,                 1.2632,                 0.5167,                 1.1199,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.0377,                0.51073,                 1.0359,                0.98311,                  0.986,                0.98897,                0.67355,                 1.2756,                   0.51,                  1.108,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.0596,                0.52656,                 1.0436,                0.97499,                0.99061,                0.98868,                0.66702,                 1.3021,                0.52304,                 1.1426,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.0337,                0.52249,                 1.0416,                0.96475,                0.99288,                0.98833,                0.67522,                 1.2477,                0.49742,                 1.1204,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.0241,                0.50128,                 1.0409,                 0.9801,                0.99248,                0.98781,                0.67722,                 1.2579,                0.50295,                 1.1138,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.0144,                0.51036,                 1.0256,                0.97536,                0.97601,                0.98483,                0.67486,                 1.2766,                0.51399,                  1.126,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.0379,                0.50226,                 1.0173,                0.98347,                0.97693,                0.98644,                 0.6639,                 1.2561,                0.49905,                 1.1092,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.0019,                0.50025,                  1.027,                0.98448,                 0.9826,                0.98963,                0.68201,                 1.2733,                0.48593,                 1.1113,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.0246,                0.50453,                 1.0315,                 0.9793,                0.99154,                0.99052,                0.65441,                 1.3575,                0.49906,                 1.1533,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.0086,                0.49986,                 1.0267,                 0.9837,                0.98819,                0.99003,                 0.6831,                 1.2859,                0.49227,                 1.1164,             0.00045107,             0.00045107,             0.00045107
                     62,                0.99717,                0.48687,                 1.0192,                0.97327,                0.98181,                0.98771,                0.68729,                 1.2561,                0.50346,                 1.1019,             0.00044007,             0.00044007,             0.00044007
                     63,                0.99917,                0.48901,                 1.0217,                0.98136,                0.98248,                0.98554,                0.64633,                 1.3342,                0.50736,                 1.1348,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0136,                0.49533,                  1.023,                0.96972,                0.98374,                0.98827,                0.68322,                 1.2866,                 0.5012,                 1.1155,             0.00041807,             0.00041807,             0.00041807
                     65,                0.96388,                0.47337,                 1.0066,                0.97634,                 0.9865,                0.98907,                0.66898,                 1.2844,                0.48983,                 1.1155,             0.00040707,             0.00040707,             0.00040707
                     66,                0.94016,                0.46195,                 1.0052,                0.98333,                0.98023,                0.99015,                 0.6681,                 1.2643,                0.47985,                 1.1129,             0.00039607,             0.00039607,             0.00039607
                     67,                0.95219,                0.47356,                0.99778,                0.97616,                  0.983,                0.99136,                0.66478,                 1.3249,                0.50188,                 1.1385,             0.00038507,             0.00038507,             0.00038507
                     68,                0.95532,                0.47001,                 1.0064,                0.97214,                0.99072,                0.99069,                0.64853,                 1.3879,                0.51421,                 1.1813,             0.00037407,             0.00037407,             0.00037407
                     69,                0.94877,                0.46311,                0.99221,                 0.9805,                0.99201,                0.98821,                0.66054,                 1.3054,                0.49032,                 1.1362,             0.00036307,             0.00036307,             0.00036307
                     70,                0.97407,                0.47563,                 1.0145,                0.98258,                0.98953,                   0.99,                0.66698,                 1.2888,                0.48295,                 1.1251,             0.00035208,             0.00035208,             0.00035208
                     71,                0.94994,                0.46355,                 1.0008,                 0.9815,                0.98992,                0.98883,                0.66131,                 1.2938,                0.48465,                 1.1493,             0.00034108,             0.00034108,             0.00034108
                     72,                0.92258,                0.45985,                0.99073,                0.97854,                0.99109,                0.98877,                   0.67,                 1.2962,                0.46915,                 1.1358,             0.00033008,             0.00033008,             0.00033008
